Client_Name,Manufacturer,Category,Registration_Date,Local_Agent,Expiry_Date,Product_Name,Product_Category
"EMCURE PHARMACEUTICAL LIMITED EMCURE HOUSE, T 184, MIDC RD, BHOSARI, PIMPRI-CHINCHWAD, MAHARASHTRA 411026, INDIA",EMCURE PHARMACEUTICALS LIMITED,Drugs,18/07/2023,"OSON'S CHEMIST LIMITED, D759 14 KIMBERLEY AVENUE, OKAISHIE, P.O.BOX 18473, ACCRA, GHANA",01/08/2026,ASOMEX 2.5,Drugs and Nutraceuticals
"BLISS GVS PHARMA LIMITED 102 HYDE PARK SAKI VIHAR ROAD, ANDHERI (EAST), MUMBAI 400072, INDIA","BLISS GVS PHARMA LIMITED, PLOT NO 10 11A.12 SURVEY, NO 38/1 DEWAN UDYOG NAGAR, ALIYALI PALGHA-401404 INDIA",Drugs,03/09/2024,"ASTERIX LIFESCIENCES (GH) LIMITED P.O.BOX CT 3160, ACCRA",01/12/2029,COMIT-50 TABLETS,Drugs and Nutraceuticals
"KAFNAM COMPANY LIMITED, PLOT 115, TANTRA HILL, ACCRA","KAFNAM COMPANY LIMITED, P.O.BOX AB 21",Drugs,08/10/2021,"KAFNAM COMPANY LIMITED, PLOT 115, TANTRA HILL, ACCRA",01/11/2026,KAPIDYNE SYRUP,Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"PHARMANOVA LIMITED, ACCRA",Drugs,24/07/2019,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",01/04/2026,ACIGUARD,Drugs and Nutraceuticals
"PEACE INDO GHANA LIMITED PLOT 43/8, STEEL WORKS RD., IND. AREA, TEMA, GHANA","PEACE INDO GHANA LIMITED PLOT 43/8, STEEL WORKS RD., IND. AREA, TEMA, GHANA",Drugs,30/10/2024,"PEACE INDO GHANA LIMITED PLOT 43/8, STEEL WORKS RD., IND. AREA, TEMA, GHANA",10/12/2029,MEDISOFT MEDICATED SOAP,Drugs and Nutraceuticals
"MSD(PTY) LIMITED, PRIVATE BAG 3 HALFWAY HOUSE MIDRAND 1685, SOUTH AFRICA","SCHERING-PLOUGH LABO N.V, INDUSTRIEPARK 30, B-220 HEISTOP-DEN-BERG, BELGIUM",Drugs,22/02/2024,"WORLDWIDE HEALTHCARE LIMITED; AMENFI PLAZA PLOT 53, TEMA-MOTORWAY INDUSTRIAL AREA, SPINTEX ROAD, ACCRA-GHANA",12/12/2026,ELOCOM OINTMENT,Drugs and Nutraceuticals
"AURA PHARMACEUTICALS LIMITED; 306-A, HARI OM PLAZA, M. G. ROAD, BORIVALI (EAST), MUMBAI – 400066, INDIA","AURA LIFECARE PVT LIMITED, S.NO 254/14/1, JAROD, SAVLI ROAD, P.O. KARACHIYA 391520, TALUKA-SAVLI, VADODARA, INDIA",Drugs,14/08/2024,MOON PHARMA GHANA LIMITED. P.O.BOX AN 8384 ACCRA-NORTH,01/10/2029,OMEPROON CAPSULE,Drugs and Nutraceuticals
"ARTEMIS SCIENCES LIMITED; PLOT NO. 41, SOUTH INDUSTRIAL AREA, P.O.BOX CT 1147, CANTONMENTS, ACCRA, GHANA",ARTEMIS LIFE SCIENCES P.O.BOX CT 1147 ACCRA,Drugs,18/06/2021,"ARTEMIS SCIENCES LIMITED, PLOT NO. 41, SOUTH INDUSTRIAL AREA, P.O.BOX CT 1147, CANTONMENTS, ACCRA, GHANA",01/07/2026,RONIMIS SUSPENSION,Drugs and Nutraceuticals
SANDOZ GmbH BIOCHEMIESTRABE 10 6250 KUNDI AUSTRIA,"Salutas Pharma Gmbh - Otto-Von-Guericke-Alle I D-39179. Barleben, Germany",DRUGS,02/06/2023,Novartis Ghana Limited - Anysia Building 17 Ringway   OS 89 Osu   Accra,01/07/2026,TABLETS  (Each tablet contains Anastrozole  1 mg ),Drugs and Nutraceuticals
"DOPHARMA B.V. ZALMWEG 24-4941 VX, THE NETHERLANDS","DOPHARMA INTERNATIONAL B.V ZALMWEG 24 4942 VX RAAMSDONKOSVEER, THE NETHERLANDS",Drugs,16/09/2024,"REISS & CO (GH) LIMITED, P.O.BOX CT 5064 CANTONMENTS ACCRA GHANA",31/12/2029,T.S. SOL SOLUTION    (TRIMETHOPRIM+SULFAMETHOXAZOLE -20MG+80MG),Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"Bharat Parenterals Limited - 144 & 146, Jarod Samlaya Road Vill. Haripura, Ta. Savli, Dist. Vadodara – 391520, Gujarat, India",Drugs,03/05/2024,"Pharmanova Limited - No.3 Okodon Street, Osu Manhean Accra",01/02/2027,NOVACEF 500,Drugs and Nutraceuticals
LABORATOIRE INNOTECH INTERNATIONAL,INNOTHERA CHOUZY,Drugs,19/06/2023,"GOKALS-LABOREX, P.O.BOX GP 623, 7 BARNES ROAD/FARRAR AVENUE, NEAR HOLY SPIRIT CATHEDRAL, ACCRA, GHANA",01/09/2026,PHLEBODIA,Drugs and Nutraceuticals
PFIZER SPECIALITIES GHANA LIMITED .C/O IQVIA,"Vicdoris Pharmaceuticals Limited - 71, Ring Road Central, P.O Box An 15088, Accra-North, Accra",Drugs,06/05/2024,"PFIZER SPECIALITIES LIMITED 210 IQVIA 19 AVIATION ROAD AIRPORT RESIDENTIAL AREA, 4057 AIRPORT, ACCRA GHANA",01/06/2029,CELEBREX 200MG CAPSULES,Drugs and Nutraceuticals
"GOLDEN TOWER LIMITED; P.O.BOX 2720, ACCRA",GOLDEN TOWER LIMITED P.O.BOX 2720 ACCRA,Drugs,18/06/2021,"GOLDEN TOWER LIMITED; P.O.BOX 2720, ACCRA",01/07/2026,G-COLD TABLETS,Drugs and Nutraceuticals
"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA","ENTRANCE PHARMACEUTICALS AND RESEARCH CENTRE, NO 15 OKPOI GONNO SPINTEX ROAD, P.O.BOX CT 10805, ACCRA, GHANA",Drugs,30/07/2021,"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",01/08/2026,JEDITONE SYRUP,Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","Baader Schulz Laboratories - Plot No. J-6, 0.1.D.C.M.G Udyog Nagar Dabhel, Dama, Select",Drugs,03/05/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/08/2027,RONFIT COLD-W,Drugs and Nutraceuticals
M/S SHALINA HEALTHCARE DMCC30TH FLOOR ALMAS TOWERSJUMEIRAH LAKES TOWERSDUBAIUAE,"SAMRUDH PHARMACARE PVT. LTD. - SAMRUDH PHARMACARE PVT. LTD. (705367) UNIT NO.2, G-16/2 & 3,MIDC,TARAPUR-401506District: Thane-Zone4. , Select",Drugs,30/08/2024,"SHALINA HEALTHCARE GHANA LIMITED - North Industrial Area,  Opposite Ghana Revenue Authority. Accra",01/08/2029,RUFENAC SUPPOSITORIES,Drugs and Nutraceuticals
"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",ESKAY THERAPEUTICS LIMITED,Drugs,02/10/2023,"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",01/12/2029,ESKAPRIL-H FORTE,Drugs and Nutraceuticals
"MEYER ORGANICS PVT LIMITED, A 177 ROAD NO. 16 WAGLE ESTATE THANE 400 604 MUMBAI MAHARASHTRA INDIA",MEYER ORGANICS PVT LIMITED,Drugs,27/03/2024,"OMEGA MEYER GN LIMITED 19 NORTH INDUSTRIAL AREA, P.O.BOX KN 3507 ACCRA GHANA",01/12/2026,ORLICAP,Drugs and Nutraceuticals
Ernest Chemist Limited,ERNEST CHEMISTS LIMITED,Drugs,15/11/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/06/2028,ZYMAX SUSPENSION,Drugs and Nutraceuticals
NEW GLOBAL PHARMACEUTICAL LIMITED,"NEW GLOBAL PHARMACEUTICALS LIMITED, P.O.BOX 2448, ACCRA",Drugs,15/07/2021,NEW GLOBAL PHARMACEUTICAL LIMITED P.O.BOX 2448 ACCRA,01/08/2026,FERVIT CAPSULES IRON (III) HYDROXIDE POLYMALTOSE COMPLEX 50MCG+FOLIC ACID BP 550MCG,Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,PHARMANOVA LIMITED P.O BOX AT 579 ACCRA,Drugs,01/08/2024,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",01/07/2029,CISTOCARB SYRUP,Drugs and Nutraceuticals
"Shalina Healthcare DMCC  - 30th Floor Alinas Towers Dubai UAE , United Arab Emirates","Medicef Pharma - Plot No 28,29&48  Epip Phase 1, Jharmajri Baddi Dist. Solan Pradesh, India",Drugs,15/03/2024,ZANITIN DUO SUSPENSION  (Each 5ml contains Amoxicillin/Clavulanate Potassium 457mg),01/05/2027,ZANITIN DUO SUSPENSION  (Each 5ml contains Amoxicillin/Clavulanate Potassium 457mg),Drugs and Nutraceuticals
NEW GLOBAL PHARMACEUTICAL LIMITED,"NEW GLOBAL PHARMACEUTICALS LIMITED, P.O.BOX 2448, ACCRA",Drugs,15/07/2021,NEW GLOBAL PHARMACEUTICAL LIMITED P.O.BOX 2448 ACCRA,01/08/2026,CALMIN SYRUP (VITAMIN B12 1.2MCG+FERROUS GLUCONATE 129.5MG+FOLIC ACID 0.5MG+CALCIUM GLUCONATE 75MG),Drugs and Nutraceuticals
NOVARTIS PHARMA SERVICES AG,"Novartis Pharma Stein Ag - Schaffhaustrasse, 4332 Stein, Switzerland",Drugs,25/08/2023,Novartis Ghana Limited - Anysia Building 17 Ringway   OS 89 Osu   Accra,31/12/2026,UPERIO  TABLETS  (Each tablet contains sacubitril/valsartan 100mg),Drugs and Nutraceuticals
"Dexvet Ghana Ltd., Accra, G/R",DEX IBERICA DOMINKARA S.A. ANTOPISTA RAMON CACERES MOCA DOMINICAN REPUBLIC,Drugs,06/12/2023,"DEXVET GHANA LIMITED, PALM WINE JUNCTION P.O.BOX 052519 OSU ACCRA",01/10/2027,TYLODEX WATER SOLUBLE POWDER  (Each kg contains: Tylosin tartrate/ Neomycin sulphate  100g/ 100g),Drugs and Nutraceuticals
"SANDOZ PHARMACEUTICAL DD VEROVŠKOVA ULICA 57, 1000 LJUBLJANA, SLOVENIA",SANDOZ PHARMACEUTICALS d.d.,Drugs,07/10/2023,"SANDOZ D. D. ANYSIA BUILDING NO 17 RINGWAY ESTATE OSU, PMB OS 89 OSU ACCRA",31/12/2026,LEVETIRACETAM SANDOZ,Drugs and Nutraceuticals
"POKUPHARMA LIMITED, P.O.BOX 3009, KUMASI-GHANA","M&G PHARMACEUTICALS LIMITED, P.O.BOX CT 1681 GHANA",Drugs,12/04/2021,"POKUPHARMA LIMITED, P.O.BOX 3009, KUMASI-GHANA",01/05/2026,POBUCAP CAPSULES,Drugs and Nutraceuticals
"RENIE CHEMIST LIMITED, P.O.BOX AN 15194 ACCRA",PROWILL PHARMACEUTICALS PVT LIMITED,Drugs,17/04/2024,"RENIE CHEMIST LIMITED, P.O.BOX AN 15194 ACCRA",01/02/2027,BLUKOF CHILDREN CHESTY COUGH,Drugs and Nutraceuticals
CHEPLAPHARM ARZNEIMITTEL GMBH ZIEGELHOLF 24 17489 GREIFSWALD GERMANY,"Excella Gmbh & Co. - Kg, Nurberger Strasse 12, 90537 Feucht, Germany",Drugs,13/07/2023,"Ernest Chemist Limited - P.O.Box 3345, Accra, Ghana",01/08/2026,XELODA  TABLETS  ( Each tablet contains Capecitabine 500mg),Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","Enicar Pharmaceuticals Private Limited - J-214,J-215 Midc  Tarapur Boisar Dist Thane 401506, India",Drugs,17/04/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/02/2027,RONFIT COLD-D,Drugs and Nutraceuticals
"FERRING PHARMACEUTICALS SA, JORDAN ABDALI AREA, RAHIK AL HARIRI AVENUE THE BADEVARD, JORDAN","FERNING GmbH, WITTLAND II, 24109 KIEL, GERMANY",Drugs,15/04/2024,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/05/2027,PABAL SOLUTION FOR INJECTION,Drugs and Nutraceuticals
"AUROBINDO PHARMA LIMITED; PLOT NO. 2, MAITHRIVIHAR, HYDERABAD 500038, INDIA",AUROBINDO PHARMA LIMITED,Drugs,07/10/2023,"SUPRA PHARMA LIMITED; NO. 6 NII BONIE LOOP DZORWULU PMB CT 333 CANTONMENTS, GHANA",01/08/2026,KOACT 625,Drugs and Nutraceuticals
"GEO MEDICORE LIMITED, P.O.BOX 2511 ACCRA","GEO MEDICORE LIMITED, P.O.BOX 2511 ACCRA",Drugs,18/11/2021,"GEO MEDICORE LIMITED, P.O.BOX 2511 ACCRA",01/12/2026,GMOL-500 TABLET,Drugs and Nutraceuticals
Ernest Chemist Limited,ERNEST CHEMISTS LIMITED,Drugs,02/10/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/08/2029,ENAFEN 400 TABLETS,Drugs and Nutraceuticals
Pfizer Specialties Limited,"SANICO N.V. LOCATED AT VEEDIJK 59, INDUSTRIE ZONE 4, 2300, TURRIHAT BELGIUM",Drugs,23/05/2024,"Vicdoris Pharmaceuticals Limited - 71, Ring Road Central, P.O Box An 15088, Accra-North, Accra",01/04/2027,XANAX XR 1MG TABLETS  (Each tablet contains Alprazolam 1mg),Drugs and Nutraceuticals
Ernest Chemist Limited,"Ernest Chemists Limited  - Plot 16/17 Tema Heavy Industrial Area   P. O. Box 3345, Accra , Ghana",Drugs,01/08/2024,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/08/2028,ECL METHYLATED SPIRIT LIQUID,Drugs and Nutraceuticals
"LAVINA PHARMACEUTICALS PVT. LIMITED, SATRA PLAZA, OFFICE NO.402 PLOT NO. 19-20, SECTOR-19 D, PALM BEACH RD, NAVI MUMBAI, MAHARASHTRA 400703, INDIA",BHARAT PARENTERALS LIMITED,Drugs,15/06/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/09/2026,LAVICID,Drugs and Nutraceuticals
"CIRON DRUGS AND PHARMACEUTICALS PVT. LIMITED, 35-37, 43-45, CFC-13, PALGHAR, MAHARASTRA, INDIA",CIRON DRUGS & PHARMACEUTICALS PVT LIMITED,Drugs,04/07/2023,"OSON'S CHEMIST LIMITED, D759 14 KIMBERLEY AVENUE, OKAISHIE, P.O.BOX 18473, ACCRA, GHANA",01/08/2026,TABLETS  (Each tablet contains Ciprofloxacin 500MG),Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","BAADER SCHULZ LAB PLOT NO. J-60IDC MAHATMA GANDHI UDYOG NAJAR DHABHEL, DAMAN 396210. U.T. INDIA",Drugs,03/05/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/07/2027,CYPRORONA-VIT TABLETS,Drugs and Nutraceuticals
"SWISS PARENTERALS AFFAIRS 808, 809, 810, KARELA INDUSTRIAL ESTATE GIDC NEAR BORLA AHMEDABAD 382220 GUJARAT INDIA","SWISS PARENTERALS LIMITED 809 KERALA INDUSTRIAL ESTATE, GIDC, BARLA, AHMEDABAD, GUJARAT INDIA",Drugs,28/08/2024,"UNICOM CHEMIST LIMITED, P.O.BOX OS 591, GHANA",01/10/2029,BACZEF 750MG INJECTION,Drugs and Nutraceuticals
SALOM PHARMACY LIMITED P.O BOX 4901 KUMASI GHANA,"Salom Pharmacy Limited - P. O. Box 4901 Adum-Kumasi Plt 7b, Blk1-Asokore Mampong Light Industrial Area, Ghana",Drugs,09/05/2024,"Salom Pharmacy  Limited - plt.No.7B Blk.1,Asokore-Mampong Kumasi,Ghana P.O.Box 4901,Adum,Kumasi",01/09/2028,SALOFULUVIN SUSPENSION,Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"PHARMANOVA LIMITED NO. 3 OKODAN STREET OSU-MANHEAN ACCRA, P.O.BOX AT 579 ACCRA",Drugs,03/11/2021,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",01/12/2026,NOVAPRIL 5 TABLETS,Drugs and Nutraceuticals
OA&J PHARMACEUTICALS LIMITED,"OA&J PHARMACEUTICALS LIMITED, PLOT NO IND/A/71/G/11, TEMA HEAVY INDUSTRIAL AREA, ACCRA-GHANA",Drugs,22/09/2021,"OA&J PHARMACEUTICALS LIMITED, PLOT NO IND/A/71/G/11, TEMA HEAVY INDUSTRIAL AREA, ACCRA-GHANA",01/10/2026,O-FORMIN 500MG TABLETS,Drugs and Nutraceuticals
SALOM PHARMACY LIMITED P.O BOX 4901 KUMASI GHANA,"Salom Pharmacy Limited - P. O. Box 4901 Adum-Kumasi Plt 7b, Blk1-Asokore Mampong Light Industrial Area, Ghana",Drugs,09/05/2024,"Salom Pharmacy Limited - plt.No.7B Blk.1,Asokore-Mampong Kumasi,Ghana P.O.Box 4901,Adum,Kumasi",31/12/2028,POLY FZ SYRUP,Drugs and Nutraceuticals
"KNVM MEDICARE PVT. LIMITED; KH NO 959 UDYOG KUNJ, GHAZIABAD UP, INDIA",REYOUNG PHARMACEUTICALS CO. LIMITED,Drugs,22/03/2024,"MedHouse Pharmaceutical Limited - Fokal House, No.3, (first floor), Official Street, Adabraka, Accra, Ghana",01/04/2027,KMDOL 75MG INJECTION,Drugs and Nutraceuticals
Preet Remedies limited,"Preet Remedies Limited - 183-186 HPSIDC Industrial Area, Baddi 173205, (H.P.), India",DRUG,05/07/2024,Paapaa Pharma Ltd - P. O. Box 7794 Cantonment Accra,01/02/2029,PAPAA HOT  GEL,Drugs and Nutraceuticals
UNICOM CHEMIST LIMITED,"GR INDUSTRIES LIMITED P.O.BOX 3368, ACCRA",Drugs,30/07/2021,"UNICOM CHEMIST LIMITED, P.O.BOX OS 591, GHANA",01/08/2026,UFERON TONIC,Drugs and Nutraceuticals
Ernest Chemist Limited,ERNEST CHEMIST LIMITED,Drugs,17/08/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/08/2028,TOBTABS TABLETS,Drugs and Nutraceuticals
NEW GLOBAL PHARMACEUTICAL LIMITED,"NEW GLOBAL PHARMACEUTICALS LIMITED, P.O.BOX 2448, ACCRA",Drugs,15/07/2021,NEW GLOBAL PHARMACEUTICAL LIMITED P.O.BOX 2448 ACCRA,01/08/2026,CYPRONIL SYRUP,Drugs and Nutraceuticals
PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,"PHYTO-RIKER PHARMACEUTICALS LIMITED, P.O.BOX AN 5266 ACCRA NORTH",Drugs,15/07/2021,PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,01/08/2026,RIZOLE SUSPENSION (BENZOYL METRONIDAZOLE) 200MG,Drugs and Nutraceuticals
"SHALINA HEALTHCARE DMCC; C315, 2 FARRAR AVE, ACCRA","Shalina Laboratories Pvt. Ltd - Plot No. E2 & E3, M.I.D.C., Jejuri, Tal Purander, Distt. Pune, Maharashtra, India",Drugs,15/03/2024,"SHALINA HEALTHCARE GHANA LIMITED, 289/4 OFFICIAL TOWN AMIN STREET ADABRAKA ACCRA GHANA",04/01/2027,SHALSPIRIN CV 7.5MG TABLETS,Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","ROXIN GHANA LIMITED, PMB 78, OSU, NO 12 OSU AVENUE EXT SWITCH BACK ROAD, ADJACENT POLICE HQ CANTONMENT, ACCRA, GHANA",Drugs,16/07/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/04/2029,ACNERON  CREAM  (Each 30gm tube contains Clobetasol Propionate 0.05%w/w),Drugs and Nutraceuticals
"DENK PHARMA GMBH & CO KG PRINZREGENTENSTRAßE 79, 81675 MÜNCHEN, GERMANY","Allphamed Pharbil, Avzneinittel Gmbh - Hildenbrandstr 10-12, 37081, Goltingen, Germany",Drugs,23/08/2024,GREEN OLIVES PARTNERS LIMITED APEX SQUARE NO 6 GEORGE WALKER BUSH HIGHWAY DZORWULU ACCRA,01/11/2029,PANTO-DENK 20 TABLETS,Drugs and Nutraceuticals
KOFIKROM PHARMACEUTICALS LIMITED SSNIT FLATS A1/4 DTD SAKUMONO ESTATE COMM 13 TEMA GHANA,BHARAT PARENTERALS LIMITED,Drugs,21/07/2023,KOFIKROM PHARMACEUTICALS LIMITED SSNIT FLATS A1/4 DTD SAKUMONO ESTATE COMM 13 TEMA GHANA,01/10/2026,BIMOX 457,Drugs and Nutraceuticals
"""BAYER WEST CENTRAL AFRICA S A GHANA REPRESENTATIVE OFFICE 9TH FLOOR EMPORIUM (REGUS) MOVENPICK  AMBASSADOR HOTEL INDEPENDENCE AVENUE RIDGE KA PMB 177 AIRPORT ACCRA GHANA""","Bayer Pharma Ag - Leverkusen Germany 51368, Germany",Drugs,17/07/2024,"Bayer Schering - (Ghana Office), P. O. Box      655, Achimota, Accra",01/08/2029,XARELTO 15MG TABLETS  (Each tablet contains Rivaroxaban 15mg),Drugs and Nutraceuticals
"KAMA INDUSTRIES LIMITED, P.O.BOX AN5437, ACCRA-NORTH, GHANA",KAMA GROUP GHANA P.O.BOX AN 5437 ACCRA,Drugs,22/09/2021,"KAMA INDUSTRIES LIMITED, P.O.BOX AN5437, ACCRA-NORTH, GHANA",01/10/2026,KAMAGYL ORAL SUSPENSION,Drugs and Nutraceuticals
"CHARPS CHEMIST LIMITED, P.O.BOX AN 97 ALAJO ACCRA, GHANA","QINGDAO SUNRISE HEALTH CO. LIMITED; NO-398, TIEJISHAN ROAD, QINGDAO CHINA",Drugs,03/09/2024,"CHARPS CHEMIST LIMITED, P.O.BOX AN 97 ALAJO ACCRA, GHANA",01/05/2029,CAREVIT-C PLUS EFFERVESCENT TABLET,Drugs and Nutraceuticals
ATLANTIC LIFE SCIENCE LIMITED P.O.BOX PP 103 PRAMPRAM,"Atlantic Lifesciences Limited - Okodan Street Osu, Accra, Ghana",Drugs,02/12/2021,Atlantic Lifesciences Limited - Plot No 16/01 Larpleku Tema Aflao Road Accra,31/12/2026,NOVACIP FOR INTRAVENOUS INFUSION,Drugs and Nutraceuticals
"ADD PHARMA GHANA LIMITED; HOUSE NO. BAE 7/1 BAATSONA TEMA GPS CODE GT 3730357, GHANA","Mars Remedies Private Limited - 635, Gidc Estate,Waghodiya 391760 Vadodara Gujarat, India",Drugs,29/08/2024,"Add Pharma Ghana Limited - P.O Box AN 1705, Accra North",01/09/2029,ATORVASTATIN 20MG TABLETS,Drugs and Nutraceuticals
"ASTRAZENECA UK LIMITED CHARTER WAY, MACCLESFIELD SK10 2NA, UNITED KINGDOM","AstraZeneca UK Limited   - Silk Road Business Park    Charter Way Macclesfield Cheshire SK 10 2NA    United Kingdom  , United Kingdom",Drugs,22/09/2023,"ASTRAZENECA SCIENTIFIC OFFICE, P.O. BOX OS 2010, OSU, ACCRA, GHANA.",01/10/2026,SYMBICORT TURBUHALER INHALATION POWDER,Drugs and Nutraceuticals
"GB PHARMA LIMITED, 65 CHATSWORTH ROAD LONDON NW2 4BG UNITED KINGDOM","Lincoln Pharmaceuticals - Trimul Estate Khatray Tal Kalol Dist Gandhingar Gu, India",Drugs,02/10/2023,GB PHARMA(GH) LIMITED P.O BOX 18100 GPO ACCRA,01/11/2026,NAZ-EAZE 0.05%,Drugs and Nutraceuticals
"LAVINA PHARMACEUTICALS PVT. LIMITED, SATRA PLAZA, OFFICE NO.402 PLOT NO. 19-20, SECTOR-19 D, PALM BEACH RD, NAVI MUMBAI, MAHARASHTRA 400703, INDIA",BHARAT PARENTERALS LIMITED,Drugs,15/06/2023,ERNEST CHEMIST LIMITED P.O.BOX 3345 ACCRA,01/07/2026,INJECTION   ( Lidocaine 2%w/v),Drugs and Nutraceuticals
"30TH FLOOR, ALMAS TOWER, JUMEIRAH LAKE TOWERS - DUBAI - UNITED ARAB EMIRATES","Shalina Laboratories Pvt. Ltd - Plot No. E2 & E3, M.I.D.C., Jejuri, Tal Purander, Distt. Pune, Maharashtra, India",Drugs,11/07/2024,"SHALINA HEALTHCARE GHANA LIMITED - North Industrial Area,  Opposite Ghana Revenue Authority. Accra",01/08/2029,TELESHAL 40MG TABLET,Drugs and Nutraceuticals
"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA","ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",Drugs,23/09/2021,"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",01/10/2026,ZINVITE CAPSULES,Drugs and Nutraceuticals
"30TH FLOOR, ALMAS TOWER, JUMEIRAH LAKE TOWERS - DUBAI - UNITED ARAB EMIRATES","SHALINA LABORATORIES PVT. LIMITED; PLOT NO. E-2 & E-3 MIDC, JEJUNI, TAL-PURANDER, DIST. PUNE, MAHARAHTRA INDIA",Drugs,12/07/2024,"SHALINA HEALTHCARE GHANA LIMITED, 289/4 OFFICIAL TOWN AMIN STREET ADABRAKA ACCRA GHANA",01/02/2030,AMLOX 10MG TABLETS,Drugs and Nutraceuticals
"GR INDUSTRIES LIMITED, P.O.BOX 3368 ACCRA, GHANA","AAYANSH WELLNESS PVT, LTD - 12, VINAYAK ESTATE, MAHA GUJARAT, MORAIYA, TAL: SANAND, AHMEDABAD-382213, GUJARAT, INDIA",Drugs,12/09/2023,"GR INDUSTRIES LIMITED, P.O.BOX 3368 ACCRA, GHANA",12/10/2026,VIN-C TABLETS,Drugs and Nutraceuticals
"SOCOMED PHARMA PVT LIMITED; NO 02 03 MARUTI PARADISE PLOT NO 93 95 SECTOR 15 CBD BELAPUR NAVI MUMBAI 400 614, INDIA",SOCOMED PHARMA PVT LIMITED NO 3 MARUTIPARADISE PLOT NO 9395 SECTOR 15  CBD BELAPUER NARI MUMBAI 400614 INDIA,Drugs,13/09/2024,"BEDITA PHARMACY, P.O.BOX CT 3780, CANTONMENTS ACCRA, GHANA",01/04/2029,SOCOMOL EXTRA TABLETS,Drugs and Nutraceuticals
"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA","Eskay Therapeutics Limited. - 42, Industrial Area Accra, Ghana",Drugs,29/05/2024,"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",01/12/2029,SKYCID 20MG CAPSULES,Drugs and Nutraceuticals
