Client_Name,Manufacturer,Category,Registration_Date,Local_Agent,Expiry_Date,Product_Name,Product_Category
B&O PHARMA ZACDELA MASQUERE 500 RUE DE 1 HEUS 31750 ESCALQUENS FRANCE,"Guilin Pharmaceuticals Co Limited - No 43 Qilidian Road Guilin Guangxi China 541004, China",Drugs,26/05/2023,Tridem Pharma Ghana Limited - 6R/C Nii Bonnie Crescent Dzorwulu Accra. P.O.Box Kpmb 58 Kia Accra,01/06/2026,ZITMYC TABLETS,Drugs and Nutraceuticals
"GREENWICH THERAPEUTICS LIMITED; CSC WAREHOUSE (C), NO. 38 DADEBAN ROAD, NORTH INDUSTRIAL AREA, ACCRA, GHANA","TRIDENT LIFELINE PVT. LIMITED, 635, GIDC ESTAT WAHGODIA, VADODARA, 391760, GUJARAT, INDIA",Drugs,02/10/2023,"GREENWICH THERAPEUTICS LIMITED; CSC WAREHOUSE (C), NO. 38 DADEBAN ROAD, NORTH INDUSTRIAL AREA, ACCRA, GHANA",31/12/2029,ZOCIN TABLETS,Drugs and Nutraceuticals
Ernest Chemist Limited,"Ernest Chemists Limited - P.O Box 3345 Accra, Ghana",Drugs,02/10/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/12/2028,E-PANOL (STRAWBERRY FLAVOUR),Drugs and Nutraceuticals
"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA","ESKAY THERAPEUTICS LIMITED, P.O.BOX DK 431 DARKUMAN",Drugs,30/08/2021,"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",01/09/2026,ESKADOL CAPSULES,Drugs and Nutraceuticals
"KEPRO BV P.O.BOX 2081 7420 AB DEVENTER, THE NETHERLANDS","Kepro B.V - Maagdenburgstraat 17 7471 ZA Deventer, Netherlands",Drugs,03/07/2024,"Frankatson Limited - P.O.Box KN 835, Orgle Road, North Kaneshie-Accra",01/05/2029,PIPER DEWORMER WATER SOLUBLE POWDER,Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","BAADER SCHULZ LAB, PLOT NO. J-6 OIDC MAHATMA GHANDI UDOG NAGA. DHABHEL DAMAN 396210 UT INDIA",Drugs,06/09/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/11/2029,PARATOP-J TABLET,Drugs and Nutraceuticals
"GR Industries Limited - 15/5 Valco Road, Heavy Industries Area, Tema, Accra, Ghana","Centurion Laboratories Pvt Ltd - P-2, Biotech, At Manjusar, Ta: Savli, Vadodara - 391775, Gujarat India, India",Drugs,30/08/2024,"GR Industries Limited - 15/5 Valco Road, Heavy Industrial Area Tema",01/04/2029,ZAMAC  TABLETS  (Each film-coated tablet contains  ACECLOFENAC 100mg),Drugs and Nutraceuticals
"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",KINAPHARMA LIMITED,Drugs,02/10/2023,"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",01/11/2027,ASPANOL JUNIOR COUGH,Drugs and Nutraceuticals
"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",GR INDUSTRIES LIMITED P.O BOX 3366 ACCRA,Drugs,10/04/2024,"ESKAY THERAPEUTICS LIMITED; P.O BOX 431 DARKUMAN 42 SOUTH INDUSTRIAL AREA ACCRA, GHANA",01/11/2029,ESKAGYL F,Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"PHARMANOVA LIMITED, P.O.BOX AT 579, ACHIMOTA MARKET, ACCRA GHANA",Drugs,16/12/2021,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",31/12/2026,SEVOFOR INHALATIONAL SOLUTION,Drugs and Nutraceuticals
